date,demand,RRP,demand_pos_RRP,RRP_positive
10/24/2015,106813.03,32.19205197,106813.03,32.19205197
10/25/2015,102279.745,17.4659695,102279.745,17.4659695
10/26/2015,115297.34,29.39851628,115297.34,29.39851628
10/27/2015,116619.57,31.32939962,116619.57,31.32939962
10/28/2015,122887.41,39.51380992,122887.41,39.51380992
10/29/2015,124222.935,62.32012828,124222.935,62.32012828
10/30/2015,121256.97,35.87555035,121256.97,35.87555035
10/31/2015,106353.44,18.37479011,106353.44,18.37479011
11/1/2015,103629.645,14.68483973,103629.645,14.68483973
11/2/2015,113791.75,25.01784896,113791.75,25.01784896
11/3/2015,101793.035,14.15794771,101793.035,14.15794771
11/4/2015,120177.945,29.23763309,120177.945,29.23763309
11/5/2015,125985.465,34.57679076,125985.465,34.57679076
11/6/2015,120505.585,30.64286687,120505.585,30.64286687
11/7/2015,104269.79,18.27265483,104269.79,18.27265483
11/8/2015,103793.085,21.09536038,103793.085,21.09536038
11/9/2015,127234.72,35.05480023,127234.72,35.05480023
11/10/2015,121617.28,32.06707648,121617.28,32.06707648
11/11/2015,121566.645,35.22410385,121566.645,35.22410385
11/12/2015,123775.16,38.48525874,123775.16,38.48525874
11/13/2015,117078.585,32.82309665,117078.585,32.82309665
11/14/2015,103646.635,33.56093861,103646.635,33.56093861
11/15/2015,99761.81,28.29807106,99761.81,28.29807106
11/16/2015,124557.225,39.12737374,124557.225,39.12737374
11/17/2015,131442.2,36.02454725,131442.2,36.02454725
11/18/2015,132353.755,60.68023827,132353.755,60.68023827
11/19/2015,138118.705,78.29096807,138118.705,78.29096807
11/20/2015,123412.685,38.02649768,123412.685,38.02649768
11/21/2015,102647.905,27.41362241,102647.905,27.41362241
11/22/2015,98621.62,32.34590077,98621.62,32.34590077
11/23/2015,114406.825,41.36877245,114406.825,41.36877245
11/24/2015,118894.305,48.52152976,118894.305,48.52152976
11/25/2015,124728.875,60.69203392,124728.875,60.69203392
11/26/2015,112907.145,30.49417411,108142.56,32.32822633
11/27/2015,117492.82,40.36654546,117492.82,40.36654546
11/28/2015,105011.195,43.32666084,105011.195,43.32666084
11/29/2015,102162.53,39.12126473,102162.53,39.12126473
11/30/2015,122452.415,45.57726057,122452.415,45.57726057
12/1/2015,117115.62,37.92095899,114525.215,39.58254623
12/2/2015,115230.125,37.4708208,115230.125,37.4708208
12/3/2015,121699.425,43.34422421,121699.425,43.34422421
12/4/2015,129148.52,66.53389405,129148.52,66.53389405
12/5/2015,115606.005,36.90686862,112891.875,38.62506466
12/6/2015,112025.29,36.78833221,112025.29,36.78833221
12/7/2015,129059.645,53.36909872,129059.645,53.36909872
12/8/2015,136800.91,57.53424668,136800.91,57.53424668
12/9/2015,125965.02,49.73700573,125965.02,49.73700573
12/10/2015,125807.495,50.80601367,125807.495,50.80601367
12/11/2015,116597.81,32.02012919,116597.81,32.02012919
12/12/2015,106139.41,34.14289792,106139.41,34.14289792
12/13/2015,105218.515,40.30682955,105218.515,40.30682955
12/14/2015,125784.96,51.74782952,125784.96,51.74782952
12/15/2015,129077.41,51.66083017,129077.41,51.66083017
12/16/2015,135930.08,78.64591999,135930.08,78.64591999
12/17/2015,152366.3,188.0861252,152366.3,188.0861252
12/18/2015,158052.89,81.19248625,158052.89,81.19248625
12/19/2015,154924.89,69.32882082,154924.89,69.32882082
12/20/2015,133421.03,54.64980429,133421.03,54.64980429
12/21/2015,113802.21,49.62125192,113802.21,49.62125192
12/22/2015,119477.515,37.53130427,119477.515,37.53130427
12/23/2015,126553.115,39.13822083,126553.115,39.13822083
12/24/2015,134583.25,50.81827517,134583.25,50.81827517
12/25/2015,119950.37,22.11558624,117447.375,24.07189981
12/26/2015,95093.295,14.96710809,95093.295,14.96710809
12/27/2015,96394.94,19.82318359,96394.94,19.82318359
12/28/2015,100048.44,20.09753992,100048.44,20.09753992
12/29/2015,111647.54,27.33170157,111647.54,27.33170157
12/30/2015,128552.135,43.82687479,128552.135,43.82687479
12/31/2015,146473.835,101.9915588,146473.835,101.9915588
1/1/2016,116040.925,32.52767336,116040.925,32.52767336
1/2/2016,99622.64,21.89456076,99622.64,21.89456076
1/3/2016,97656.445,19.8953848,97656.445,19.8953848
1/4/2016,110932.505,25.44347924,110932.505,25.44347924
1/5/2016,117873.58,29.91718737,117873.58,29.91718737
1/6/2016,115064.265,31.79025205,115064.265,31.79025205
1/7/2016,112392.695,34.44506917,112392.695,34.44506917
1/8/2016,111879.54,36.88815616,111879.54,36.88815616
1/9/2016,105482.695,41.98782325,105482.695,41.98782325
1/10/2016,113049.145,44.47978703,113049.145,44.47978703
1/11/2016,141133.085,88.11610079,141133.085,88.11610079
1/12/2016,135006.11,62.53997502,135006.11,62.53997502
1/13/2016,160011.075,545.7378196,160011.075,545.7378196
1/14/2016,120396.335,36.37140419,117671.67,37.21959734
1/15/2016,113244.79,30.20390307,113244.79,30.20390307
1/16/2016,103046.17,23.67497011,103046.17,23.67497011
1/17/2016,114097.07,29.15326195,114097.07,29.15326195
1/18/2016,147817.585,43.40935802,147817.585,43.40935802
1/19/2016,148612.37,49.25793525,148612.37,49.25793525
1/20/2016,142471.51,53.30039877,142471.51,53.30039877
1/21/2016,139450.615,55.47008954,139450.615,55.47008954
1/22/2016,129135.185,42.33773277,129135.185,42.33773277
1/23/2016,108097.845,26.97502333,108097.845,26.97502333
1/24/2016,103396.3,26.41220907,103396.3,26.41220907
1/25/2016,112649.6,27.59659014,112649.6,27.59659014
1/26/2016,110152.815,25.27669394,110152.815,25.27669394
1/27/2016,133718.035,32.75984945,133718.035,32.75984945
1/28/2016,134169.83,33.32496816,134169.83,33.32496816
1/29/2016,123615.21,32.69384721,123615.21,32.69384721
1/30/2016,107579.345,23.84687233,107579.345,23.84687233
1/31/2016,101279.65,23.47662571,101279.65,23.47662571
2/1/2016,121942.895,31.58876665,121942.895,31.58876665
2/2/2016,133989.155,35.64081616,133989.155,35.64081616
2/3/2016,122594.475,27.87604398,122594.475,27.87604398
2/4/2016,119919.605,22.3923782,119919.605,22.3923782
2/5/2016,126330.55,26.8545022,124411.225,27.2961
2/6/2016,123737.01,28.72453436,123737.01,28.72453436
2/7/2016,124436.81,33.49284634,124436.81,33.49284634
2/8/2016,129327.225,33.9086031,129327.225,33.9086031
2/9/2016,131271.265,38.70567585,131271.265,38.70567585
2/10/2016,132265.005,41.37607962,132265.005,41.37607962
2/11/2016,131003.79,34.38993372,131003.79,34.38993372
2/12/2016,133845.52,40.62665069,133845.52,40.62665069
2/13/2016,120839.995,32.23139796,120839.995,32.23139796
2/14/2016,104364.735,26.26726968,104364.735,26.26726968
2/15/2016,120863.325,32.56207053,120863.325,32.56207053
2/16/2016,117062.035,29.58535343,117062.035,29.58535343
2/17/2016,119481.79,32.50451406,119481.79,32.50451406
2/18/2016,125964.185,47.40430914,125964.185,47.40430914
2/19/2016,122991.66,43.69489681,122991.66,43.69489681
2/20/2016,105911.71,26.30452433,105911.71,26.30452433
2/21/2016,107884.355,24.60568176,105842.515,26.42939822
2/22/2016,130527.325,55.28023145,130527.325,55.28023145
2/23/2016,156924.83,66.96065647,156924.83,66.96065647
2/24/2016,152419.415,72.24069994,152419.415,72.24069994
2/25/2016,138064.855,43.38678606,138064.855,43.38678606
2/26/2016,122575.935,35.55254287,122575.935,35.55254287
2/27/2016,110545.84,32.10570563,110545.84,32.10570563
2/28/2016,105781.985,30.39844268,105781.985,30.39844268
2/29/2016,125400.08,41.25807901,125400.08,41.25807901
3/1/2016,142242.595,96.28761922,142242.595,96.28761922
3/2/2016,145182.98,53.91107114,145182.98,53.91107114
3/3/2016,136226.12,49.55216251,136226.12,49.55216251
3/4/2016,149376.57,43.22741726,149376.57,43.22741726
3/5/2016,124692.315,37.4253858,124692.315,37.4253858
3/6/2016,117707.95,41.3206478,117707.95,41.3206478
3/7/2016,131465.825,41.14950256,131465.825,41.14950256
3/8/2016,160285.015,253.0320323,160285.015,253.0320323
3/9/2016,152599.125,66.41160339,152599.125,66.41160339
3/10/2016,135635.705,46.52161235,135635.705,46.52161235
3/11/2016,141414.35,49.79353314,141414.35,49.79353314
3/12/2016,119690.755,37.32101386,119690.755,37.32101386
3/13/2016,111329.62,30.0869621,111329.62,30.0869621
3/14/2016,105388.57,24.79442999,105388.57,24.79442999
3/15/2016,123073.98,28.46012769,123073.98,28.46012769
3/16/2016,135047.625,54.35305581,135047.625,54.35305581
3/17/2016,143184.805,49.4911015,143184.805,49.4911015
3/18/2016,118189.72,33.97202362,118189.72,33.97202362
3/19/2016,105484.1,48.71748998,105484.1,48.71748998
3/20/2016,100394.06,47.17506412,100394.06,47.17506412
3/21/2016,117796.715,49.67654935,117796.715,49.67654935
3/22/2016,124081.46,56.87274821,124081.46,56.87274821
3/23/2016,126074.895,44.26219138,126074.895,44.26219138
3/24/2016,125072.73,42.35494432,125072.73,42.35494432
3/25/2016,101740.89,30.22185548,101740.89,30.22185548
3/26/2016,102726.745,30.53949743,102726.745,30.53949743
3/27/2016,98324.645,25.86103521,98324.645,25.86103521
